red;green;blue
0,619607843;0,560784314;0,337254902
0,752941176;0,698039216;0,419607843
0,745098039;0,71372549;0,419607843
0,760784314;0,725490196;0,431372549
0,737254902;0,701960784;0,447058824
0,737254902;0,658823529;0,411764706
0,796078431;0,745098039;0,541176471
0,678431373;0,619607843;0,349019608
0,647058824;0,576470588;0,278431373
0,709803922;0,650980392;0,278431373
0,666666667;0,584313725;0,266666667
0,709803922;0,650980392;0,333333333
0,737254902;0,674509804;0,37254902
0,643137255;0,564705882;0,278431373
0,796078431;0,77254902;0,482352941
0,819607843;0,784313725;0,529411765
0,725490196;0,666666667;0,403921569
0,733333333;0,709803922;0,364705882
0,607843137;0,533333333;0,231372549
0,564705882;0,48627451;0,215686275
0,796078431;0,682352941;0,188235294
0,745098039;0,619607843;0,137254902
0,678431373;0,541176471;0,039215686
0,749019608;0,611764706;0,141176471
0,68627451;0,537254902;0,054901961
0,847058824;0,564705882;0,031372549
0,784313725;0,498039216;0
0,776470588;0,549019608;0,023529412
0,749019608;0,450980392;0,019607843
0,670588235;0,356862745;0,007843137
0,788235294;0,556862745;0,062745098
0,596078431;0,31372549;0,015686275
0,737254902;0,447058824;0,019607843
0,721568627;0,6;0,039215686
0,815686275;0,674509804;0,192156863
0,831372549;0,568627451;0,211764706
0,635294118;0,290196078;0,007843137
0,615686275;0,203921569;0
0,615686275;0,235294118;0,02745098
0,560784314;0,247058824;0,007843137
0,568627451;0,105882353;0,058823529
0,603921569;0,121568627;0,090196078
0,51372549;0,074509804;0,066666667
0,682352941;0,196078431;0,164705882
0,737254902;0,258823529;0,239215686
0,717647059;0,235294118;0,243137255
0,647058824;0,164705882;0,101960784
0,701960784;0,254901961;0,215686275
0,784313725;0,329411765;0,341176471
0,8;0,360784314;0,356862745
0,674509804;0,207843137;0,184313725
0,878431373;0,51372549;0,48627451
0,741176471;0,298039216;0,17254902
0,831372549;0,450980392;0,48627451
0,752941176;0,254901961;0,188235294
0,831372549;0,376470588;0,411764706
0,831372549;0,364705882;0,37254902
0,835294118;0,384313725;0,411764706
0,666666667;0,164705882;0,121568627
0,592156863;0,117647059;0,08627451
