red;green;blue
0,729411765;0,305882353;0,023529412
0,176470588;0,196078431;0,035294118
0,364705882;0,360784314;0,188235294
0,258823529;0,243137255;0,094117647
0,607843137;0,192156863;0
0,650980392;0,203921569;0
0,529411765;0,329411765;0,019607843
0,784313725;0,529411765;0,168627451
0,756862745;0,682352941;0,415686275
0,384313725;0,439215686;0,337254902
0,392156863;0,435294118;0,380392157
0,133333333;0,176470588;0,11372549
0,184313725;0,196078431;0,152941176
0,509803922;0,360784314;0,035294118
0,521568627;0,31372549;0,039215686
0,776470588;0,443137255;0,078431373
0,301960784;0,278431373;0,137254902
0,592156863;0,537254902;0,360784314
0,22745098;0,176470588;0,050980392
0,549019608;0,243137255;0,152941176
0,258823529;0,235294118;0,133333333
0,215686275;0,223529412;0,129411765
0,223529412;0,254901961;0,054901961
0,266666667;0,305882353;0,098039216
0,521568627;0,549019608;0,349019608
0,180392157;0,207843137;0,003921569
0,737254902;0,737254902;0,603921569
0,819607843;0,792156863;0,619607843
0,698039216;0,674509804;0,48627451
0,670588235;0,639215686;0,447058824
0,607843137;0,576470588;0,392156863
0,603921569;0,568627451;0,415686275
0,631372549;0,6;0,415686275
0,203921569;0,223529412;0,105882353
0,68627451;0,635294118;0,509803922
0,62745098;0,568627451;0,407843137
0,588235294;0,549019608;0,407843137
0,650980392;0,596078431;0,450980392
0,176470588;0,164705882;0,098039216
0,121568627;0,11372549;0,015686275
0,807843137;0,341176471;0,011764706
0,439215686;0,270588235;0,094117647
0,278431373;0,290196078;0,11372549
0,57254902;0,384313725;0,062745098
0,752941176;0,37254902;0
0,776470588;0,341176471;0,031372549
0,188235294;0,125490196;0
0,768627451;0,349019608;0,035294118
0,815686275;0,368627451;0,023529412
0,737254902;0,235294118;0
0,721568627;0,305882353;0,070588235
0,780392157;0,654901961;0,368627451
0,419607843;0,117647059;0,007843137
0,168627451;0,101960784;0
0,564705882;0,17254902;0,047058824
0,145098039;0,121568627;0
0,392156863;0,345098039;0,188235294
0,584313725;0,258823529;0
0,541176471;0,152941176;0
0,490196078;0,062745098;0
