red;green;blue
0,909803922;0,909803922;0,862745098
0,921568627;0,91372549;0,862745098
0,898039216;0,898039216;0,858823529
0,91372549;0,88627451;0,847058824
0,905882353;0,905882353;0,858823529
0,960784314;0,960784314;0,929411765
0,933333333;0,925490196;0,866666667
0,898039216;0,894117647;0,823529412
0,882352941;0,862745098;0,788235294
0,905882353;0,882352941;0,819607843
0,870588235;0,858823529;0,784313725
0,901960784;0,890196078;0,815686275
0,925490196;0,882352941;0,811764706
0,925490196;0,91372549;0,839215686
0,929411765;0,905882353;0,843137255
0,925490196;0,925490196;0,88627451
0,898039216;0,898039216;0,858823529
0,874509804;0,862745098;0,796078431
0,815686275;0,803921569;0,682352941
0,850980392;0,835294118;0,729411765
0,925490196;0,878431373;0,650980392
0,933333333;0,843137255;0,545098039
0,960784314;0,866666667;0,68627451
0,996078431;0,8;0,450980392
0,960784314;0,698039216;0,278431373
0,960784314;0,803921569;0,42745098
0,941176471;0,745098039;0,356862745
0,91372549;0,643137255;0,270588235
0,933333333;0,823529412;0,494117647
0,937254902;0,88627451;0,670588235
0,933333333;0,88627451;0,650980392
0,91372549;0,847058824;0,576470588
0,949019608;0,721568627;0,341176471
0,925490196;0,705882353;0,333333333
0,968627451;0,737254902;0,376470588
0,937254902;0,68627451;0,305882353
0,933333333;0,854901961;0,647058824
0,937254902;0,88627451;0,670588235
0,917647059;0,854901961;0,619607843
0,921568627;0,847058824;0,580392157
0,623529412;0,364705882;0,368627451
0,552941176;0,305882353;0,278431373
0,741176471;0,505882353;0,403921569
0,68627451;0,478431373;0,407843137
0,764705882;0,482352941;0,294117647
0,749019608;0,517647059;0,4
0,843137255;0,733333333;0,549019608
0,784313725;0,619607843;0,556862745
0,792156863;0,62745098;0,57254902
0,756862745;0,560784314;0,533333333
0,654901961;0,396078431;0,411764706
0,549019608;0,274509804;0,31372549
0,701960784;0,521568627;0,521568627
0,57254902;0,309803922;0,345098039
0,51372549;0,250980392;0,278431373
0,6;0,337254902;0,37254902
0,529411765;0,250980392;0,266666667
0,545098039;0,31372549;0,298039216
0,509803922;0,298039216;0,290196078
0,592156863;0,341176471;0,345098039
